restaurant_name,location,status,rating,full address,cusine,fssai
PARATHA GULLY,Arekere,-- MINS,--,"PARATHA GULLY, NO 35/4,24TH MAIN ROAD JP NAGAR,7TH PHASE PUTTENAHALLI BANGALORE-560078, BTM Layout ,B.B.M.P South, Karnataka-560078, Karnataka","Beverages,Indian",License No. 11220334000344
The Range,Arekere,-- MINS,--,"The Range, Fazlan Trading Company, Bannerghatta Main Road, next to IDFC Bank, Syndicate Bank Colony, Omkar Nagar, Hulimavu, Bengaluru, Karnataka, India","North Indian,South Indian",License No. 21219193001571
Malabar eats,Arekere,-- MINS,3.5,"Malabar eats, SITE NO.15, ARAKERE, B.G. ROAD, BANGALORE, District - B.B.M.P South, STATE - Karnataka - 560076","Kerala,South Indian,Chinese,Beverages",License No. 11219334001422
Melting Pot,Arekere,-- MINS,--,"Melting Pot, WOODROSE CLUB, BRIGADE MILLENNIUM 17TH MAIN ROAD, J.P NAGAR 7TH PHASE, BANGALORE., District - B.B.M.P South, STATE - Karnataka","Indian,Continental,Chinese",License No. 11215334000302
Wandercrust,Arekere,Closed,--,"Wandercrust, Freshmenu #23/24, Ground floor,  2nd Cross, Arkere main road, Bannerghatta road, Bangalore 560076.","Pizzas,Italian",License No. 11217334000966
Yumme Veg,Arekere,-- MINS,4.0,"Yumme Veg, Shop no 3 &4, #108, 4th Main, 3rd Cross, Arekere Mico Layout, Bangalore 76","Beverages,Desserts,American,Fast Food,South Indian",License No. 21219192002123
Indian Biryani Company,Arekere,-- MINS,--,"Indian Biryani Company, G4, PUSHPAM COMPLEX, VIBGYOR SCHOOL ROAD, THUBARAHALLI, BANGALORE,  - 560066","Biryani,North Indian",Applied for license
The Good Bowl,Arekere,-- MINS,4.0,"The Good Bowl, No 161,161 A,166, First floor,Vinayaka Nagar,A,KARNATAKA","North Indian,Biryani,Asian,Pastas,Desserts",License No. 11218334000189
Biggies Burger 'n' more,Arekere,-- MINS,--,"Biggies Burger 'n' more, BBMP site No 910 situated at Hulimavu  Begur Road Khatha No 9 10 9 1 Akshay Nagar Ward No 192 Yelenahalli Village Begur Hobli BangaloreBommanahalli BM P South Karnataka",Fast Food,Applied for license
Lassi huts,Arekere,Closed,--,"Lassi huts, 37/6 1ST CROSS 3RD MAIN ROAD BISSMILAHNAGAR BANNERGATTA ROAD BANGALORE 560029",Fast Food,License No. 21219194000711
 Orchard Fresh Home Meals,Arekere,Closed,3.9," Orchard Fresh Home Meals,  Orchard Fresh, No.4, 600/676 Bharath Industrial Estate, Next to Fortis Hospitals, Bannerghatta Road, Bengaluru","North Indian,Chinese,Gujarati",License No. 11214334000055
Five Star Chicken,Arekere,-- MINS,4.3,"Five Star Chicken, #242 8th cross 2nd block vishwapriya layout Begur Bangalore  560068",Fast Food,License No. 21219192002024
Adiga's,Arekere,-- MINS,3.8,"Adiga's, No. 204, 11th K.M. Stone, Bilekahalli, Bannerghatta Road","South Indian,North Indian,Chinese,Thalis,Fast Food,Juices,Desserts",License No. 11215334000720
Meghana Foods,Arekere,-- MINS,4.4,"Meghana Foods, No. 23/1,Bannerghatta Road, Arekere Village, Begur Hobli, Bangalore","Andhra,Biryani",Applied for license
LunchBox,Arekere,-- MINS,4.0,"LunchBox, No. 161, 161 A, 166, First Floor, Vinayaka Nagar, Arekere Main Road, Bannerghatta Road, Bangalore   560076.","North Indian,Desserts,Biryani",License No. 11218334000189
CHAI RESTO,Arekere,Closed,--,"CHAI RESTO, NO.35/4, 24TH MAIN, JP NAGAR, 7TH PHASE, PUTTENAHALLI, BANGALORE., District - B.B.M.P South- 560078, Karnataka","Beverages,Fast Food",License No. 11220334000428
